,word,onset,offset
797,knal,273.63,273.97
798,horen,273.97,274.29
799,Er,274.94,275.02
800,werd,275.02,275.18
801,een,275.18,275.22
802,grote,275.22,275.61
803,jacht,275.61,275.84499
804,gehouden,275.84499,276.27
805,De,276.27,276.3
806,jagers,276.72,277.18
807,lagen,277.44,277.67
808,rondom,277.67,278.1
809,het,278.1,278.18
810,moeras,278.18,278.62
811,Ja,279.14,279.34
812,enigen,279.63,279.98
813,zaten,279.98,280.24
814,boven,280.24,280.54
815,in,280.54,280.63
816,de,280.63,280.71
817,takken,280.71,280.95
818,der,280.95,281.09
819,bomen,281.09,281.44
820,die,281.64,281.74
821,zich,281.74,281.9
822,ver,281.96,282.18
823,over,282.28,282.55
824,het,282.55,282.58
825,riet,282.58,282.79
826,uitstrekten,282.79,283.42
827,De,284.05,284.15
828,blauwe,284.15,284.61
829,damp,284.61,284.89
830,trok,285.12,285.34
831,in,285.34,285.48
832,dikke,285.48,285.84
833,wolken,285.84,286.22
834,in,286.27,286.37
835,de,286.37,286.43
836,bomen,286.43,286.84
837,en,287.05,287.17
838,ver,287.17,287.45
839,over,287.45,287.7
840,het,287.7,287.79
841,water,287.79,288.07
842,heen,288.07,288.4
843,De,289.02,289.1
844,jachthonden,289.1,289.76
845,gingen,289.84,290.1
846,het,290.18,290.21
847,moeras,290.21,290.51
848,in,290.51,290.72
849,Plof,291.89,292.33
850,Plof,292.56,293.04
851,Het,293.5,293.68
852,riet,293.68,293.87
853,boog,293.99,294.24
854,zich,294.24,294.36
855,naar,294.36,294.46
856,alle,294.46,294.66
857,kanten,294.66,294.94
858,heen,294.94,295.25
859,Dat,295.8,296.02
860,was,296.02,296.16
861,een,296.16,296.24
862,schrik,296.24,296.54
863,voor,296.54,296.68
864,het,296.68,296.76
865,arme,296.76,297.06
866,eendje,297.06,297.44
867,Het,297.89,298.03
868,draaide,298.03,298.32
869,zijn,298.32,298.52
870,kop,298.52,298.72
871,om,298.72,298.95
872,om,299.13,299.28
873,hem,299.28,299.39
874,onder,299.39,299.63
875,de,299.63,299.67
876,vleugels,299.67,300.05
877,te,300.05,300.15
878,steken,300.15,300.55
879,Maar,301.06,301.16
880,op,301.16,301.25
881,hetzelfde,301.25,301.61
882,ogenblik,301.61,302.01
883,stond,302.23,302.4
884,er,302.4,302.47
885,een,302.47,302.53
886,vreselijk,302.53,303.1
887,grote,303.1,303.37
888,hond,303.37,303.67
889,dicht,303.67,303.86
890,bij,303.86,304.04
891,het,304.04,304.12
892,eendje,304.12,304.45
893,De,304.87,304.98
894,tong,305.09,305.32
895,hing,305.41,305.58
896,hem,305.58,305.68
897,uit,305.68,305.84
898,de,305.84,305.89
899,bek,305.89,306.13
900,En,306.45,306.57
901,zijn,306.57,306.7
902,ogen,306.78,307.16
903,schoten,307.32,307.67
904,vlammen,307.67,308.05
905,Hij,308.71,308.83
906,strekte,308.83,309.22
907,zijn,309.22,309.38
908,snoet,309.38,309.69
909,juist,309.86,310.21
910,naar,310.21,310.34
911,het,310.34,310.47
912,eendje,310.47,310.72
913,uit,310.72,311.03
914,liet,311.53,311.72
915,het,311.72,311.85
916,zijn,311.85,312.01
917,scherpe,312.01,312.47499
918,landen,312.47499,312.79
919,zien,312.79,313.01
920,En,313.01,313.23
921,plof,313.79,314.24
922,Plof,314.3,314.8
923,Daar,315.01,315.1
924,ging,315.1,315.29
925,het,315.29,315.38
926,weer,315.38,315.6
927,zonder,315.94,316.32
928,dat,316.32,316.45
929,hij,316.45,316.58
930,het,316.58,316.66
931,beetpakte,316.66,317.19
